Gender,Age,Verification,Sexual_orientation,Sexual_polarity,Looking_for,Last_login,Member_since,Number_of_Comments_in_public_forum,Number_of_offline_meetings_attended,Profile_pictures,Risk,Days,Total_chat_time,Friends
male,36.8,Non_Verified,Heterosexual,Switch,Nobody,before_1194_days,2012-07-09,0,0.0,0.0,unknown_risk,00,0 days 00:35:00.000000000,
male,37.1,Non_Verified,Heterosexual,Switch,Nobody,before_1695_days,2012-07-09,0,0.0,0.0,unknown_risk,00,0 days 00:00:00.000000000,
male,28.1,Non_Verified,bisexual,Submisive,Nobody,before_1328_days,2012-07-09,0,0.0,0.0,unknown_risk,00,0 days 00:00:00.000000000,
male,43.3,Non_Verified,Heterosexual,Submisive,Nobody,before_1695_days,2012-07-09,0,0.0,0.0,unknown_risk,00,0 days 00:00:00.000000000,
female,30.3,Non_Verified,Heterosexual,Submisive,Men,before_1678_days,2012-07-09,0,0.0,0.0,unknown_risk,00,0 days 04:23:00.000000000,
male,43.3,Non_Verified,Heterosexual,Switch,Nobody,before_1341_days,2012-07-09,0,0.0,0.0,unknown_risk,00,0 days 00:00:00.000000000,
male,28.4,Non_Verified,bicurious,Switch,Nobody_but_maybe,before_12_days,2012-07-09,0,0.0,0.0,unknown_risk,00,0 days 00:00:00.000000000,
female,26.1,Non_Verified,Heterosexual,Switch,Nobody,before_1695_days,2012-07-09,0,0.0,0.0,unknown_risk,00,0 days 00:00:00.000000000,
female,25.9,Verified,Heterosexual,Submisive,Nobody_but_maybe,before_17_days,2012-07-09,0,0.0,0.0,unknown_risk,03,0 days 15:55:00.000000000,2.0
male,41.1,Non_Verified,Heterosexual,Dominant,Nobody,before_770_days,2012-07-09,0,0.0,0.0,unknown_risk,00,0 days 00:00:00.000000000,
male,43.0,Non_Verified,Heterosexual,Dominant,Nobody,before_1694_days,2012-08-09,0,0.0,0.0,unknown_risk,00,0 days 00:00:00.000000000,
female,36.5,Non_Verified,Heterosexual,Submisive,Men,before_1085_days,2012-08-09,6,0.0,0.0,unknown_risk,00,0 days 06:54:00.000000000,5.0
male,46.6,Non_Verified,Heterosexual,Switch,Nobody,before_1694_days,2012-08-09,0,0.0,0.0,unknown_risk,00,0 days 00:00:00.000000000,
male,33.6,Non_Verified,Homosexual,Submisive,Nobody,before_1683_days,2012-08-09,0,0.0,0.0,unknown_risk,00,0 days 00:00:00.000000000,
male,39.1,Non_Verified,Heterosexual,Switch,Nobody,before_1680_days,2012-08-09,0,0.0,0.0,unknown_risk,00,0 days 00:00:00.000000000,
female,30.4,Non_Verified,bisexual,Switch,Nobody,before_112_days,2012-08-09,29,2.0,2.0,unknown_risk,00,0 days 00:18:00.000000000,17.0
male,34.3,Non_Verified,Heterosexual,Switch,Nobody_but_maybe,before_1_days,2012-08-09,0,0.0,0.0,unknown_risk,00,0 days 05:24:00.000000000,7.0
male,33.3,Non_Verified,Heterosexual,Dominant,Nobody,before_368_days,2012-08-09,0,0.0,0.0,unknown_risk,00,0 days 00:07:00.000000000,
male,52.3,Non_Verified,Heterosexual,Dominant,Nobody,before_47_days,2012-08-09,0,0.0,0.0,unknown_risk,00,0 days 00:01:00.000000000,
male,36.4,Non_Verified,Heterosexual,Dominant,Women,before_1479_days,2009-11-11,0,0.0,0.0,unknown_risk,00,0 days 00:00:00.000000000,
male,39.1,Non_Verified,bisexual,Switch,Nobody,before_1694_days,2012-08-09,0,0.0,0.0,unknown_risk,00,0 days 00:00:00.000000000,
male,34.0,Non_Verified,bicurious,Submisive,Men_and_Women,before_1689_days,2012-08-09,0,0.0,0.0,unknown_risk,00,0 days 00:00:00.000000000,
female,28.2,Non_Verified,Heterosexual,Dominant,Nobody,before_1253_days,2012-08-09,0,0.0,0.0,unknown_risk,00,0 days 00:00:00.000000000,
male,37.3,Non_Verified,Heterosexual,Submisive,Nobody,before_1592_days,2012-08-09,0,0.0,0.0,unknown_risk,00,0 days 00:05:00.000000000,
male,44.4,Non_Verified,Heterosexual,Submisive,Nobody,before_1694_days,2012-08-09,0,0.0,0.0,unknown_risk,00,0 days 00:00:00.000000000,
female,25.5,Non_Verified,bisexual,Switch,Nobody,before_353_days,2012-08-09,4,0.0,0.0,unknown_risk,18,0 days 13:00:00.000000000,16.0
male,29.2,Non_Verified,Heterosexual,Submisive,Nobody,before_80_days,2012-08-09,0,0.0,0.0,unknown_risk,00,0 days 00:00:00.000000000,
female,26.2,Non_Verified,bisexual,Switch,Nobody,before_1606_days,2012-09-09,0,0.0,0.0,unknown_risk,00,0 days 00:00:00.000000000,
male,59.1,Non_Verified,Homosexual,Dominant,Nobody,before_220_days,2012-09-09,0,0.0,0.0,unknown_risk,00,0 days 00:00:00.000000000,
female,48.2,Non_Verified,Heterosexual,Submisive,Nobody,before_184_days,2012-09-09,0,0.0,0.0,unknown_risk,00,0 days 00:01:00.000000000,1.0
female,49.7,Non_Verified,bicurious,Submisive,Nobody,before_1343_days,2012-09-09,0,0.0,0.0,unknown_risk,00,0 days 00:39:00.000000000,2.0
male,40.8,Non_Verified,bisexual,Switch,Nobody,before_1622_days,2012-09-09,0,0.0,0.0,unknown_risk,00,0 days 00:00:00.000000000,
male,41.2,Non_Verified,bicurious,Submisive,Nobody,before_49_days,2012-09-09,0,0.0,0.0,unknown_risk,00,0 days 00:00:00.000000000,
male,35.9,Non_Verified,Heterosexual,Submisive,Nobody,before_1693_days,2012-09-09,0,0.0,0.0,unknown_risk,00,0 days 00:00:00.000000000,
